0 0.0375
1 0.035
2 4.5725
3 7.995
4 8.0675
5 9.07
6 8.39
7 7.77
8 8.1125
9 9.4325
10 7.4025
11 7.4325
12 6.99
13 7.36
14 7.07
15 8.3875
16 7.82
17 7.525
18 7.5775
19 5.9325
20 8.14
21 7.7475
22 8.5175
23 7.5075
24 6.68
25 7.1525
26 7.39
27 7.2475
28 7.5175
29 6.4875
30 7.5875
31 7.395
32 7.7775
33 6.81
34 7.7425
35 8.8775
36 8.3
37 7.705
38 7.5225
39 8.1725
40 7.7925
41 7.89
42 7.6075
43 6.8025
44 7.98
45 6.9725
46 7.3025
47 7.8775
48 8.5025
49 8.215
50 7.8325
51 7.225
52 7.955
53 7.0375
54 8.3425
55 8.1175
56 7.8675
57 7.3925
58 7.6925
59 7.975
60 7.24
